主事件标题,事件标题,时间,地点,涉事方,关键动作,总触达量,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184
中国人民解放军在南海黄岩岛附近进行战备巡逻并驱离菲律宾船只,中国人民解放军与菲律宾在南海黄岩岛附近进行战备巡逻,2024-12-29,南海黄岩岛,中国人民解放军、菲律宾、中国海警,中国人民解放军在黄岩岛附近进行战备巡逻，中国海警驱离菲律宾船只,10360883,"""https://x.com/TheStudyofWar/status/1877822730122469644/photo/1"";""https://twitter.com/TheStudyofWar/status/1877747627120378338"";""https://x.com/TheStudyofWar/status/1877747627120378338/photo/1"";""https://twitter.com/TheStudyofWar/status/1877452794317123755""","""https://www.bloomberg.com/news/articles/2025-01-12/philippines-says-china-s-monster-ship-back-in-disputed-waters?utm_campaign=socialflow-organic&utm_medium=social&cmpid=socialflow-twitter-business&utm_content=business&utm_source=twitter""","""https://thedefensepost.com/2025/01/12/philippines-ship-counter-china/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰国与金砖国家在东南亚进行去美元化合作,泰国与金砖国家在东南亚进行去美元化合作,2025-1-1,东南亚,泰国、俄罗斯、金砖国家,泰国接受金砖国家邀请并迈向去美元化,2837220,"""https://twitter.com/legittargets/status/1874168649071943835"";""https://x.com/LegitTargets/status/1874168649071943835/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军卡尔·文森号航空母舰在南海进行例行行动,美国海军在南海进行例行行动,2025-1-7,南海,美国,美国海军卡尔·文森号航空母舰（CVN 70）在南海进行例行行动,1666088,"""https://x.com/USPacificFleet/status/1876341250355261725/photo/1""","""https://x.com/US7thFleet/status/1876796106606067997/photo/1""","""https://x.com/INDOPACOM/status/1876608976701255722/photo/1""","""https://x.com/US7thFleet/status/1876222246181568516/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军与加拿大皇家海军在南海举行联合演习,美国海军与加拿大皇家海军在南海进行联合演习,2025-1-12,南海,美国海军、加拿大皇家海军,美国海军与加拿大皇家海军在南海进行联合演习，以展示对自由开放印太地区的承诺,743289,"""https://x.com/US7thFleet/status/1878336213809049652/photo/1""","""https://www.rfa.org/english/southchinasea/2025/01/13/us-canada-drills/"";""https://x.com/AsiaMTI/status/1879415720758661347/photo/1""","""https://www.cpf.navy.mil/Newsroom/News/Article/4030010/uss-higgins-ddg-76-hmcs-ottawa-ffh-341-conduct-bilateral-operations/""","""https://x.com/INDOPACOM/status/1879654865724670408/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的“非法存在和活动”提出外交抗议并与中国就南海争端进行会谈,菲律宾与中国在南海就中国“非法存在和活动”进行外交抗议,2025-1-13,南海,菲律宾、中国,菲律宾就中国在南海的“非法存在和活动”提出外交抗议,9603343,"""https://www.bloomberg.com/news/articles/2025-01-13/philippines-protests-illegal-presence-of-china-ships-chopper?cmpid=socialflow-twitter-business&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&utm_content=business""","""https://asia.nikkei.com/Politics/International-relations/South-China-Sea/Philippines-protests-China-Coast-Guard-tactics-in-South-China-Sea""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国卡尔·文森号航空母舰在南海进行舰载机飞行训练和飞行作业,美国海军在南海进行舰载机飞行训练,2025-1-14,南海,美国海军,美国海军F/A-18E和F/A-18F超级大黄蜂舰载机从卡尔·文森号航空母舰的飞行甲板起飞进行训练,664682,"""https://x.com/USPacificFleet/status/1878882044006314453/photo/1""","""https://x.com/USPacificFleet/status/1879257458637783127/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的“非法存在和活动”提出外交抗议并与中国就南海争端进行会谈,中国与菲律宾在南海就南海争端进行会谈,2025-1-15,南海,中国、菲律宾,中国与菲律宾就南海争端举行会谈，此前因中国大型船只在争议水域出现导致紧张局势再次升级,9596325,"""https://www.bloomberg.com/news/articles/2025-01-15/china-philippines-hold-talks-as-monster-ship-fuels-south-china-sea-tensions?utm_campaign=socialflow-organic&cmpid=socialflow-twitter-business&utm_source=twitter&utm_medium=social&utm_content=business""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国参议员就美国国防部长在南海地区谈判基地准入的重要性进行讨论,Pete Hegseth 在美国参议院听证会上未能理解国防部长在南海的基地准入谈判的重要性,2025-1-16,美国,Pete Hegseth、Tammy Duckworth、美国国防部长、东盟,Pete Hegseth 在回应参议员Tammy Duckworth关于东盟的问题时，未能理解美国国防部长在南海地区谈判基地准入的重要性,717142,"""https://x.com/emptywheel/status/1879859518580134026/photo/1""","""https://x.com/emptywheel/status/1879518466245550514/photo/1""","""https://twitter.com/LauraRBelin/status/1881121183825109011"";""https://www.bleedingheartland.com/2025/01/19/who-had-joni-ernsts-ear-and-who-didnt-on-hegseth-nomination/""","""https://twitter.com/LauraRBelin/status/1881121183825109011""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国卡尔·文森号航空母舰在南海进行舰载机飞行训练和飞行作业,美国海军在南海进行飞行作业,2025-1-16,南海,美国海军、USS Carl Vinson (CVN 70),美国海军的尼米兹级航空母舰USS Carl Vinson (CVN 70)在南海进行飞行作业,870102,"""https://x.com/US7thFleet/status/1879695143873216759/photo/1""","""https://x.com/USPacificFleet/status/1879957080108593328/photo/1""","""https://www.dvidshub.net/image/8833693/uss-carl-vinson-cvn-70-conducts-routine-operations-south-china-sea"";""https://x.com/USPacificFleet/status/1880370421683659152/photo/1""","""https://x.com/US7thFleet/status/1880782303552541039/photo/1""","""https://x.com/US7thFleet/status/1887305313944039814/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国公司与菲律宾在南海油气项目上合作受中国影响,美国公司与菲律宾在南海油气项目上合作，但受中国影响,2025-1-17,南海,美国公司、菲律宾、中国,美国公司对菲律宾的油气项目感兴趣，但与中国的紧张关系阻碍了南海争议地区的勘探,1852210,"""https://www.bloomberg.com/news/articles/2025-01-17/us-firms-eye-philippine-projects-as-china-row-stalls-oil-drills?utm_content=markets&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-markets""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
