主事件标题,事件标题,时间,地点,涉事方,关键动作,总推文数,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184,链接185,链接186,链接187,链接188,链接189,链接190,链接191,链接192,链接193,链接194,链接195,链接196,链接197,链接198,链接199,链接200,链接201,链接202,链接203,链接204,链接205,链接206,链接207,链接208,链接209,链接210,链接211,链接212,链接213,链接214,链接215,链接216,链接217,链接218,链接219,链接220,链接221,链接222,链接223,链接224,链接225,链接226,链接227,链接228,链接229,链接230,链接231,链接232,链接233,链接234,链接235,链接236,链接237,链接238,链接239,链接240,链接241,链接242,链接243,链接244,链接245,链接246,链接247,链接248,链接249,链接250,链接251,链接252,链接253,链接254,链接255,链接256,链接257,链接258,链接259,链接260,链接261,链接262,链接263,链接264,链接265,链接266,链接267,链接268,链接269,链接270,链接271,链接272,链接273,链接274,链接275,链接276,链接277,链接278,链接279,链接280,链接281,链接282
菲律宾就中国在南海的活动提出抗议并引发多方关注,美国与菲律宾在南海黄岩岛附近对抗中国封锁,2025/1/2,南海黄岩岛附近,美国、菲律宾、中国,美国和菲律宾试图打破中国在黄岩岛的封锁,2,"""https://twitter.com/gordianknotray/status/1874641372944466016""","""https://twitter.com/gordianknotray/status/1874641372944466016"";""https://x.com/GordianKnotRay/status/1874641372944466016/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾指责中国在南海欺凌东南亚国家,2025/1/2,南海（West Philippine Sea）,菲律宾、中国、东南亚国家,菲律宾指责中国在南海通过部署海警船欺凌东南亚国家,4,"""https://twitter.com/globaltimesnews/status/1874494633017012403""","""https://x.com/DWalpiri/status/1875084455561568410/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,中国与菲律宾在南海黄岩岛（Scarborough Shoal）发生海警船对峙,2025/1/4,南海黄岩岛（Scarborough Shoal）,中国、菲律宾,中国海警船“The Monster”进入菲律宾水域的黄岩岛，并得到海空演习支持，加剧南海紧张局势,3,"""https://www.rfa.org/english/southchinasea/2025/01/02/china-philippines-monster-ship-scarborough-shoal/""","""https://www.newsweek.com/china-news-deploys-monster-ship-territory-disputed-us-ally-philippines-2009152""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾监测中国“巨型船只”在西菲律宾海的活动,2025/1/6,西菲律宾海,菲律宾、中国,菲律宾监测中国“巨型船只”在西菲律宾海的活动,4,https://twitter.com/dzrhnews/statuses/1876179379388403720,"""https://www.youtube.com/watch?v=XD44i4ndLg4&feature=youtu.be""","""https://www.gmanetwork.com/news/topstories/nation/932201/west-ph-sea-9-large-china-vessels-monster-ship-patrolling-eez/story/""","""https://radyopilipinas.ph/2025/01/pananatili-ng-tinaguriang-monster-ship-ng-china-sa-eez-ng-bansa-iligal-at-nakababahal-afp/"";""https://x.com/radyopilipinas1/status/1876801865771581574/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾海岸警卫队在西菲律宾海监测中国“巨型船只”,2025/1/6,西菲律宾海,菲律宾海岸警卫队、中国,菲律宾海岸警卫队监测中国“巨型船只”在菲律宾专属经济区内的活动，分析师认为这是中国在该海域展示实力,3,"""https://www.youtube.com/watch?v=Azaq8E_L7_4""","""https://x.com/News5PH/status/1876290127968047266/video/1""","""https://www.gmanetwork.com/radio/streaming/dzbb"";""https://www.facebook.com/dzbb594/videos/one-on-one-walang-personalan-january-6-2025/1619532805622384/"";""https://x.com/dzbb/status/1876078477218300086/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,菲律宾前众议院副议长Erin Tañada质疑Salvador Panelo对中国在西菲律宾海主张的立场,2025/1/6,西菲律宾海,Erin Tañada、Salvador Panelo、中国、菲律宾,Erin Tañada质疑Salvador Panelo对中国在西菲律宾海主张的批评，并指出中国与杜特尔特家族的关系,3,"""https://x.com/PilipinasToday_/status/1876080152700219642/photo/1""","""https://x.com/PilipinasToday_/status/1876136524800242039/photo/1""","""https://x.com/PilipinasToday_/status/1876108786903191683/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国对美国财政部进行网络攻击,中国对美国财政部进行网络攻击,2025/1/6,美国,中国、美国,中国对美国财政部进行网络攻击,24,"""https://x.com/ianellisjones/status/1876056104687341613/video/1""","""https://x.com/folingo/status/1876242141447688406/photo/1"";""https://twitter.com/ianellisjones/status/1876056104687341613"";""https://x.com/ianellisjones/status/1876056104687341613/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海部署航母并进行军事活动,美国海军在南海进行焊接作业,2025/1/7,南海,美国海军,美国海军工程学学员在南海的阿利·伯克级导弹驱逐舰“希金斯”号上进行焊接作业,3,"""https://x.com/US7thFleet/status/1876222246181568516/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海部署航母并进行军事活动,美国海军在南海部署卡尔·文森号航母打击群,2025/1/7,南海,美国海军,美国海军在南海部署卡尔·文森号航母打击群,3,"""https://www.zona-militar.com/en/2025/01/06/the-uss-carl-vinson-carrier-strike-group-has-been-redeployed-to-the-south-china-sea/""","""https://x.com/USPacificFleet/status/1876341250355261725/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的活动提出抗议并引发多方关注,Duterte 就南海紧张局势呼吁制定有约束力的行为准则,2025/1/8,南海,Duterte、中国,Duterte 呼吁制定有约束力的行为准则以缓解南海紧张局势,2,"""https://twitter.com/dimabanwa/status/1876635646787559446""",https://twitter.com/lcmlaw_ph/statuses/1877535526355644695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
